0,51.509,-0.16104,0,0,0
0.5,51.509,-0.16104,0.094157,-0.012525,-0.60526
1,51.509,-0.16105,0.27837,0.0050593,-0.69235
1.5,51.509,-0.16104,0.50394,-0.01196,-0.86174
2,51.509,-0.16104,0.73483,0.00064272,-1.2502
2.5,51.509,-0.16105,0.98081,0.0090691,-0.67341
3,51.509,-0.16104,1.2406,0.015661,-0.057586
3.5,51.509,-0.16104,1.2374,-0.0086632,0.34874
4,51.509,-0.16104,1.3323,-0.015646,-1.0157
4.5,51.509,-0.16103,1.1446,-0.0051689,-0.8226
5,51.509,-0.16104,1.3197,0.0036459,-0.54312
5.5,51.509,-0.16104,1.2255,-0.018253,-0.32495
6,51.509,-0.16104,1.3086,0.019184,-0.89254
6.5,51.509,-0.16103,1.1651,0.025566,-0.19551
7,51.509,-0.16103,1.2853,-0.0016348,-0.16419
7.5,51.509,-0.16103,1.2499,0.01164,0.20597
8,51.509,-0.16103,1.245,0.0051535,0.046683
8.5,51.509,-0.16103,1.2588,-0.0031779,-0.25694
9,51.509,-0.16103,1.2238,0.011903,-0.42157
9.5,51.509,-0.16103,1.3249,0.03592,0.9486
10,51.509,-0.16103,1.1616,0.040822,1.4588
10.5,51.509,-0.16104,1.3096,0.020959,1.3711
11,51.509,-0.16104,1.1813,0.0054703,1.1945
11.5,51.509,-0.16104,1.3727,0.024406,0.84416
12,51.509,-0.16104,1.1299,-0.0019702,0.61154
12.5,51.509,-0.16104,1.3919,-0.012079,0.7233
13,51.509,-0.16104,1.082,-0.0050441,0.27185
13.5,51.509,-0.16104,1.4087,0.0052011,-0.14494
14,51.509,-0.16104,1.0761,0.0086179,-0.39111
14.5,51.509,-0.16104,1.4395,-0.028698,-0.24629
15,51.509,-0.16104,1.0248,-0.033837,-0.48199
15.5,51.509,-0.16104,1.4759,-0.02157,-1.3984
16,51.509,-0.16104,1.0018,-0.012664,-1.8392
16.5,51.509,-0.16104,1.4597,-0.0089046,-1.5309
17,51.509,-0.16104,1.0032,-0.0012627,-1.0967
17.5,51.509,-0.16104,1.4679,-0.00088355,-1.0425
18,51.509,-0.16103,0.98661,0.0032966,-1.0857
18.5,51.509,-0.16103,1.5077,-0.0059866,-0.76495
19,51.509,-0.16102,0.92321,0.0038326,-0.34227
19.5,51.509,-0.16103,1.608,0.010917,-0.33565
20,51.509,-0.16103,0.86939,0.012024,-0.48274
20.5,51.509,-0.16103,1.5974,0.008518,-0.43926
21,51.509,-0.16103,0.88122,0.015043,-0.82101
21.5,51.509,-0.16102,1.6014,0.01054,-0.52349
22,51.509,-0.16103,0.86864,-0.016458,-0.56897
22.5,51.509,-0.16104,1.6013,-0.020141,-0.98437
23,51.509,-0.16104,0.91471,-0.017975,-0.52809
23.5,51.509,-0.16104,1.5456,0.014598,-0.45406
24,51.509,-0.16104,0.92916,0.010147,-0.45476
24.5,51.51,-0.16104,1.5422,-0.0050406,-0.66632
25,51.51,-0.16104,0.95381,-0.0085162,-0.90256
25.5,51.51,-0.16104,1.5598,-0.034718,-1.0456
26,51.51,-0.16104,0.94715,-0.0052773,-1.147
